Optimal Path Found. Time elapsed is 12.544470 seconds. 
Node ID: 240949599 	 Lat: 41.383341  | Long: 2.181774  | Distance: 0.000000 
 
Node ID: 240944785 	 Lat: 41.383476  | Long: 2.181506  | Distance: 26.926933 
 
Node ID: 240936347 	 Lat: 41.383541  | Long: 2.181366  | Distance: 40.716571 
 
Node ID: 240936348 	 Lat: 41.383570  | Long: 2.180862  | Distance: 82.863623 
 
Node ID: 30647274 	 Lat: 41.383608  | Long: 2.180647  | Distance: 101.262493 
 
Node ID: 240939090 	 Lat: 41.383621  | Long: 2.180584  | Distance: 106.755711 
 
Node ID: 30647313 	 Lat: 41.383652  | Long: 2.180399  | Distance: 122.532138 
 
Node ID: 240934220 	 Lat: 41.383709  | Long: 2.180116  | Distance: 147.014331 
 
Node ID: 240934857 	 Lat: 41.383761  | Long: 2.179822  | Distance: 172.166169 
 
Node ID: 240936350 	 Lat: 41.383837  | Long: 2.179353  | Distance: 212.190910 
 
Node ID: 240936351 	 Lat: 41.383873  | Long: 2.179055  | Distance: 237.406770 
 
Node ID: 240936353 	 Lat: 41.383896  | Long: 2.178848  | Distance: 254.873192 
 
Node ID: 30227495 	 Lat: 41.383967  | Long: 2.178745  | Distance: 266.490558 
 
Node ID: 209110229 	 Lat: 41.384111  | Long: 2.178541  | Distance: 289.879555 
 
Node ID: 209110228 	 Lat: 41.383889  | Long: 2.178258  | Distance: 323.972728 
 
Node ID: 209110227 	 Lat: 41.383645  | Long: 2.177937  | Distance: 362.148398 
 
Node ID: 30297907 	 Lat: 41.383507  | Long: 2.177739  | Distance: 384.687350 
 
Node ID: 30646194 	 Lat: 41.383232  | Long: 2.177430  | Distance: 424.648509 
 
Node ID: 209057499 	 Lat: 41.382989  | Long: 2.177103  | Distance: 463.042816 
 
Node ID: 209134967 	 Lat: 41.382915  | Long: 2.177005  | Distance: 474.682582 
 
Node ID: 209137015 	 Lat: 41.382619  | Long: 2.176656  | Distance: 518.585534 
 
Node ID: 209057497 	 Lat: 41.382563  | Long: 2.176608  | Distance: 525.961673 
 
Node ID: 30243957 	 Lat: 41.382278  | Long: 2.176278  | Distance: 567.982866 
 
Node ID: 209132794 	 Lat: 41.382185  | Long: 2.176064  | Distance: 588.659701 
 
Node ID: 209132796 	 Lat: 41.382119  | Long: 2.175758  | Distance: 615.164405 
 
Node ID: 1400545466 	 Lat: 41.382098  | Long: 2.175698  | Distance: 620.700401 
 
Node ID: 209132797 	 Lat: 41.381896  | Long: 2.175489  | Distance: 649.138689 
 
Node ID: 30252199 	 Lat: 41.381850  | Long: 2.175516  | Distance: 654.737906 
 
